City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Vila,PT,46.0,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
597,Choszczno,PL,37.0,moderate rain,53.169,15.4205,Karczma Zbójnicka
599,Baker City,US,37.4,light snow,44.7749,-117.8344,Bridge Street Inn
600,Xinyang,CN,41.94,clear sky,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
602,Harrismith,ZA,57.38,light rain,-28.2728,29.1295,Sir Harry's Estate
603,Tehri,IN,49.68,scattered clouds,30.3833,78.4833,The Reindeer Resort Kanatal
604,Bloemfontein,ZA,64.4,overcast clouds,-29.1211,26.214000000000002,Protea Hotel by Marriott Bloemfontein
607,Benghazi,LY,61.25,clear sky,32.1167,20.0667,Tibesti Hotel
608,Te Anau,NZ,48.25,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
609,Surin,TH,64.99,clear sky,14.8818,103.4936,One Fu Hotel
613,Gushikawa,JP,59.0,few clouds,26.3544,127.8686,Kirari Guest House
614,Atar,MR,72.97,clear sky,20.5169,-13.0499,Oumou Elghoura
617,Westport,US,37.0,overcast clouds,41.1415,-73.3579,Norwalk Inn
619,Dali,CN,43.14,clear sky,25.7,100.1833,Dali Travelling With Hostel
621,Ballina,AU,64.4,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
623,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
627,Ucluelet,CA,43.0,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
628,Payo,ID,72.32,overcast clouds,-3.7508,103.6372,Mess keban agung
629,Elhovo,BG,48.2,fog,42.1667,26.5667,Slavey Homestay
630,Brunico,IT,33.01,light snow,46.7958,11.9364,Hotel Post
632,Okaihau,NZ,66.0,overcast clouds,-35.3167,173.7833,Macadamia Farm
633,Bahar,IR,40.03,broken clouds,34.9072,48.4414,نمایندگی سایپا اسدی 20406
634,Calvinia,ZA,69.19,clear sky,-31.4707,19.776,Die Lemoenhuis
635,Baturaja,ID,72.55,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
636,Hailey,US,33.8,few clouds,43.5196,-114.3153,Wood River Inn & Suites
637,Otorohanga,NZ,69.01,few clouds,-38.1833,175.2,Otorohanga Kiwi Holiday Park
